"本郷三丁目駅","東京メトロ丸ノ内線,都営大江戸線",5,"ほ"
"根津駅","東京メトロ千代田線",5,"ね"
"千駄木駅","東京メトロ千代田線",5,"せ"
"茗荷谷駅","東京メトロ丸ノ内線",5,"み"
"湯島駅","東京メトロ千代田線",5,"ゆ"
"本駒込駅","東京メトロ南北線",5,"ほ"
"護国寺駅","東京メトロ有楽町線",5,"ご"
"千石駅","都営三田線",5,"せ"
"白山駅","都営三田線",5,"は"
"東大前駅","東京メトロ南北線",5,"と"
"江戸川橋駅","東京メトロ有楽町線",5,"え"
"新大塚駅","東京メトロ丸ノ内線",5,"し"
"上野駅","ＪＲ常磐線快速,ＪＲ高崎線,ＪＲ東北本線,上越新幹線,長野新幹線,秋田新幹線,山形新幹線,東北新幹線,東京メトロ銀座線,東京メトロ日比谷線,ＪＲ京浜東北線,ＪＲ山手線",6,"う"
"浅草駅","東京メトロ銀座線,東武伊勢崎線,都営浅草線",6,"あ"
"鶯谷駅","ＪＲ京浜東北線,ＪＲ山手線",6,"う"
"蔵前駅","都営大江戸線,都営浅草線",6,"く"
"浅草橋駅","都営浅草線,ＪＲ総武線",6,"あ"
"御徒町駅","ＪＲ京浜東北線,ＪＲ山手線",6,"お"
"新御徒町駅","つくばエクスプレス,都営大江戸線",6,"し"
"浅草駅","つくばエクスプレス",6,"あ"
"京成上野駅","京成本線",6,"け"
"稲荷町駅","東京メトロ銀座線",6,"い"
"入谷駅","東京メトロ日比谷線",6,"い"
"上野広小路駅","東京メトロ銀座線",6,"う"
"三ノ輪駅","東京メトロ日比谷線",6,"み"
"上野御徒町駅","都営大江戸線",6,"う"
"田原町駅","東京メトロ銀座線",6,"た"
"仲御徒町駅","東京メトロ日比谷線",6,"な"
"押上駅","京成押上線,東京メトロ半蔵門線,都営浅草線,東武伊勢崎線",7,"お"
"錦糸町駅","ＪＲ総武線快速,東京メトロ半蔵門線,ＪＲ総武線",7,"き"
"両国駅","都営大江戸線,ＪＲ総武線",7,"り"
"曳舟駅","東武亀戸線,東武伊勢崎線",7,"ひ"
"小村井駅","東武亀戸線",7,"お"
"とうきょうスカイツリー駅","東武伊勢崎線",7,"と"
"東あずま駅","東武亀戸線",7,"ひ"
"本所吾妻橋駅","都営浅草線",7,"ほ"
"京成曳舟駅","京成押上線",7,"け"
"鐘ケ淵駅","東武伊勢崎線",7,"か"
"菊川駅","都営新宿線",7,"き"
"東向島駅","東武伊勢崎線",7,"ひ"
"八広駅","京成押上線",7,"や"
"新木場駅","東京臨海高速鉄道,ＪＲ京葉線,東京メトロ有楽町線",8,"し"
"森下駅","都営新宿線,都営大江戸線",8,"も"
"清澄白河駅","東京メトロ半蔵門線,都営大江戸線",8,"き"
"住吉駅","東京メトロ半蔵門線,都営新宿線",8,"す"
"豊洲駅","ゆりかもめ,東京メトロ有楽町線",8,"と"
"門前仲町駅","東京メトロ東西線,都営大江戸線",8,"も"
"亀戸駅","東武亀戸線,ＪＲ総武線",8,"か"
"大島駅","都営新宿線",8,"お"
"テレコムセンター駅","ゆりかもめ",8,"て"
"東雲駅","東京臨海高速鉄道",8,"し"
"国際展示場駅","東京臨海高速鉄道",8,"こ"
"有明テニスの森駅","ゆりかもめ",8,"あ"
"市場前駅","ゆりかもめ",8,"し"
"青海駅","ゆりかもめ",8,"あ"
"国際展示場正門駅","ゆりかもめ",8,"こ"
"東京テレポート駅","東京臨海高速鉄道",8,"と"
"辰巳駅","東京メトロ有楽町線",8,"た"
"西大島駅","都営新宿線",8,"に"
"東陽町駅","東京メトロ東西線",8,"と"
"有明駅","ゆりかもめ",8,"あ"
"越中島駅","ＪＲ京葉線",8,"え"
"潮見駅","ＪＲ京葉線",8,"し"
"東大島駅","都営新宿線",8,"ひ"
"船の科学館駅","ゆりかもめ",8,"ふ"
"新豊洲駅","ゆりかもめ",8,"し"
"木場駅","東京メトロ東西線",8,"き"
"南砂町駅","東京メトロ東西線",8,"み"
"亀戸水神駅","東武亀戸線",8,"か"
"大崎駅","ＪＲ山手線,ＪＲ埼京線,東京臨海高速鉄道,ＪＲ湘南新宿ライン",9,"お"
"目黒駅","東急目黒線,都営三田線,ＪＲ山手線,東京メトロ南北線",9,"め"
"五反田駅","東急池上線,ＪＲ山手線,都営浅草線",9,"ご"
"大井町駅","東急大井町線,東京臨海高速鉄道,ＪＲ京浜東北線",9,"お"
"西大井駅","ＪＲ横須賀線,ＪＲ湘南新宿ライン",9,"に"
"天王洲アイル駅","東京モノレール,東京臨海高速鉄道",9,"て"
"旗の台駅","東急池上線,東急大井町線",9,"は"
"中延駅","都営浅草線,東急大井町線",9,"な"
"荏原中延駅","東急池上線",9,"え"
"大森海岸駅","京浜急行本線",9,"お"
"戸越銀座駅","東急池上線",9,"と"
"戸越公園駅","東急大井町線",9,"と"
"青物横丁駅","京浜急行本線",9,"あ"
"大井競馬場前駅","東京モノレール",9,"お"
"大崎広小路駅","東急池上線",9,"お"
"不動前駅","東急目黒線",9,"ふ"
"北品川駅","京浜急行本線",9,"き"
"新馬場駅","京浜急行本線",9,"し"
"下神明駅","東急大井町線",9,"し"
"西小山駅","東急目黒線",9,"に"
